canary_id,record_id,customer_name,date_of_birth,account_number
CANARY-063,REC-006838,Grace Scott,1982-03-01,161000006837
CANARY-064,REC-006844,Camila Adams,1959-09-22,101000006843
CANARY-065,REC-006880,Jasmine H. Mitchell,1965-05-05,711000006879
CANARY-066,REC-006938,Joshua Coleman,1962-05-16,131000006937
CANARY-067,REC-007322,Henry Taylor Jr.,1968-07-10,171000007321
CANARY-068,REC-007376,Nora W. Hall,1985-08-06,601000007375
CANARY-069,REC-007549,Grace S. Coleman,2003-09-06,811000007548
CANARY-070,REC-007635,Charlotte Walker,1970-05-10,921000007634
CANARY-071,REC-007706,Elena C. Robinson Jr.,2001-04-07,211000007705
CANARY-072,REC-007829,Leah W. Johnson,1957-01-07,921000007828
CANARY-073,REC-007838,Alex Allen,1989-06-06,831000007837
CANARY-074,REC-007909,Samuel Campbell,1957-06-05,121000007908
CANARY-075,REC-007963,Harper Thompson,1981-01-25,551000007962
CANARY-076,REC-007979,Scarlett P. Rivera,1964-07-14,391000007978
CANARY-077,REC-008014,Ethan Walker,1953-06-18,041000008013
CANARY-078,REC-008212,Wyatt Flores,1966-07-31,971000008211
CANARY-079,REC-008220,David Patel Jr.,1972-07-05,891000008219
CANARY-080,REC-008288,Chloe Y. Hall,1975-08-28,211000008287
CANARY-081,REC-008367,Layla M. Chang,1994-03-18,391000008366
CANARY-082,REC-008379,Noah K. Walker,1961-05-18,271000008378
CANARY-083,REC-008467,Ava Adams,2003-12-22,361000008466
CANARY-084,REC-008471,Adrian Thompson,1979-10-20,321000008470
CANARY-085,REC-008859,Mia Martinez,1970-09-10,321000008858
CANARY-086,REC-008949,Darius W. Thompson Jr.,1979-07-02,391000008948
CANARY-087,REC-008971,Joshua Gonzalez,1948-03-06,171000008970
CANARY-088,REC-009078,Brianna Rivera,1983-09-10,071000009077
CANARY-089,REC-009107,Layla Brooks,1974-01-13,751000009106
CANARY-090,REC-009233,Wyatt C. Carter,1952-04-14,461000009232
CANARY-091,REC-009239,Grace Lewis,1995-06-07,401000009238
CANARY-092,REC-009264,Wyatt Taylor,1993-02-04,151000009263
CANARY-093,REC-009354,Gabriel Lee,1987-11-11,221000009353
CANARY-094,REC-009381,Aaliyah M. Collins,1952-11-22,921000009380
CANARY-095,REC-009437,Owen Smith,1949-08-05,361000009436
CANARY-096,REC-009539,Isabella Evans,1992-07-24,311000009538
CANARY-097,REC-009722,Sophia F. Allen,1964-10-06,421000009721
CANARY-098,REC-009840,Scarlett Evans,1964-07-05,211000009839
CANARY-099,REC-009934,David E. Harris,1968-12-25,241000009933
CANARY-100,REC-009996,Isabella Allen,1991-09-09,591000009995
